O.D.,Nominal Weight,Grade,Collapse pressure,Burst pressure
20,94,H - 40,520,1530
20,94,J- 55,520,2110
20,94,K - 55,520,2110
20,106.5,J- 55,770,2410
20,106.5,K - 55,770,2410
20,106.5,N - 80,770,3500
20,133,K - 55,1500,3060
20,133,L - 80,1600,4450
20,133,N - 80,1600,4450
20,169,K - 55,2500,3910
20,169,L - 80,3020,5680
20,169,N - 80,3020,5680
13 3/8,48,H - 40,740,1730
13 3/8,54.5,J- 55,1130,2730
13 3/8,54.5,K - 55,1130,2730
13 3/8,54.5,HCK - 55,1400,2730
13 3/8,54.5,LS - 65,1140,3230
13 3/8,61,J- 55,1540,3090
13 3/8,61,K - 55,1540,3090
13 3/8,61,HCK - 55,2040,3090
13 3/8,61,LS - 65,1620,3660
13 3/8,68,J- 55,1950,3450
13 3/8,68,K - 55,1950,3450
13 3/8,68,HCK - 55,2850,3450
13 3/8,68,LS - 65,2110,4080
13 3/8,68,L - 80,2260,5020
13 3/8,68,HCL - 80,2910,5020
13 3/8,68,N - 80,2260,5020
13 3/8,68,HCN - 80,2910,5020
13 3/8,68,C - 90,2320,5650
13 3/8,68,S -95,2910,5970
13 3/8,68,T - 95,2330,5970
13 3/8,68,C - 95,2330,5970
13 3/8,68,HCP - 110,2910,6910
13 3/8,68,P - 110,2340,6910
13 3/8,72,LS - 65,2430,4370
13 3/8,72,L- 80,2670,5380
13 3/8,72,HCL - 80,3470,5380
13 3/8,72,N - 80,2670,5380
13 3/8,72,HCN - 80,3470,5380
13 3/8,72,C - 90,2780,6050
13 3/8,72,H2S - 90,3470,6050
13 3/8,72,S -95,3470,6390
13 3/8,72,T - 95,2820,6390
13 3/8,72,H2S - 90,3470,6390
13 3/8,72,C - 95,2820,6390
13 3/8,72,HCP - 110,3470,7400
13 3/8,72,P - 110,2820,7400
13 3/8,72,HCQ - 125,3470,8410
13 3/8,72,Q - 125,2880,8410
13 3/8,72,LS - 140,3470,9420
13 3/8,72,V - 150,2880,10090
